fecha,pais,superficie,idprovincia,municipio,causa,causa_supuesta,time_ctrl,time_ext,personal,medios,tipo,predicted_cluster
2006-03-03,spain,2.7,Asturias,VALDÉS,desconocido,0.0,0,179,4,0,incendio,1
2013-04-15,spain,4.2,Asturias,CANGAS DEL NARCEA,intencionado,0.0,235,241,5,1,incendio,1
2005-02-13,spain,8.2,Zamora,HERMISENDE,intencionado,0.0,0,1260,0,0,incendio,1
2014-03-09,spain,7.5,Cantabria,BÁRCENA DE PIE DE CONCHA,intencionado,1.0,0,675,0,0,incendio,1
2005-03-23,spain,3.0,Asturias,MIERES,reproducido,1.0,88,106,4,1,incendio,1
2012-03-24,spain,5.0,Asturias,PARRES,intencionado,0.0,0,199,5,0,incendio,1
2009-08-07,spain,1.93,Zamora,MUELAS DEL PAN,intencionado,0.0,128,903,43,4,incendio,1
2005-03-10,spain,1.5,León,CONGOSTO,intencionado,1.0,128,133,5,1,incendio,1
2010-04-06,spain,1.0,Asturias,PARRES,accidente,1.0,0,80,0,0,conato,1
2009-10-05,spain,1.25,Sevilla,ALGÁMITAS,desconocido,0.0,75,135,8,0,incendio,1
2009-07-28,spain,4031.18,Ávila,ARENAS DE SAN PEDRO,intencionado,0.0,8409,40659,832,129,GIF,2
2003-08-12,spain,20.0,Lugo,RIBEIRA DE PIQUÍN,rayo,1.0,3025,3095,20,2,incendio,1
2007-12-14,spain,3.5,Cáceres,ALDEANUEVA DE LA VERA,intencionado,1.0,115,565,11,1,incendio,1
2014-06-15,spain,2.76,Almería,DALÍAS,rayo,0.0,213,380,48,5,incendio,1
2009-03-25,spain,1.7,Huesca,SANGARRÉN,accidente,0.0,100,140,12,2,incendio,1
2005-08-20,spain,1.5,Pontevedra,BAIONA,reproducido,1.0,235,1725,9,1,incendio,1
2012-10-13,spain,3.0,Cáceres,VALVERDE DEL FRESNO,intencionado,1.0,165,1320,16,3,incendio,1
2001-04-24,spain,1.7,Barcelona,VILADECANS,accidente,0.0,85,120,28,11,incendio,0
2005-04-13,spain,4.0,Asturias,VILLAVICIOSA,accidente,1.0,173,252,8,1,incendio,1
2011-04-14,spain,1.0,Ourense,MONTEDERRAMO,intencionado,1.0,236,356,13,0,conato,1
2003-09-12,spain,4.0,Ourense,"CARBALLINO, O",intencionado,1.0,195,320,22,3,incendio,1
2003-07-01,spain,1.5,Badajoz,BADAJOZ,intencionado,1.0,135,135,4,1,incendio,1
2011-02-14,spain,2.6,Alicante/Alacant,CONFRIDES,intencionado,0.0,355,1909,39,5,incendio,1
2002-01-21,spain,1.5,Zamora,ROSINOS DE LA REQUEJADA,intencionado,1.0,90,120,10,0,incendio,1
2002-08-31,spain,8.0,Badajoz,OLIVA DE MÉRIDA,intencionado,1.0,265,335,8,7,incendio,1
2005-07-13,spain,1.5,Cantabria,UDÍAS,accidente,1.0,150,210,7,0,incendio,1
2013-12-12,spain,30.88,Pontevedra,RODEIRO,intencionado,1.0,556,599,20,4,incendio,1
2007-12-09,spain,7.5,Zamora,FIGUERUELA DE ARRIBA,intencionado,1.0,87,102,1,1,incendio,1
2006-09-09,spain,1.0,Asturias,LENA,desconocido,0.0,0,326,5,1,conato,1
2003-09-13,spain,1.8,Ourense,VILARIÑO DE CONSO,intencionado,1.0,80,155,16,1,incendio,1
2005-09-03,spain,2.1,Valladolid,COGECES DEL MONTE,accidente,1.0,55,644,44,12,incendio,0
2004-04-10,spain,1.0,Ourense,CHANDREXA DE QUEIXA,intencionado,1.0,40,50,3,0,conato,1
2013-09-26,spain,110.46,Zaragoza,ZARAGOZA,desconocido,0.0,550,820,65,8,incendio,1
2004-06-03,spain,1.0,Lugo,VILALBA,desconocido,0.0,30,155,6,1,conato,1
2002-08-30,spain,33.0,Pontevedra,RODEIRO,intencionado,1.0,250,440,16,2,incendio,1
2003-08-12,spain,8.0,Asturias,"REGUERAS, LAS",desconocido,0.0,587,1240,15,4,incendio,1
2011-03-25,spain,2.0,Cantabria,CORVERA DE TORANZO,intencionado,0.0,25,65,8,0,incendio,1
2007-04-23,spain,1.0,Cantabria,LAMASÓN,intencionado,0.0,70,90,11,0,conato,1
2015-04-07,spain,3.5,Cantabria,VEGA DE PAS,intencionado,1.0,140,150,7,0,incendio,1
2004-07-28,spain,200.0,Zamora,MUGA DE SAYAGO,intencionado,1.0,285,300,123,7,incendio,1
2001-07-26,spain,1.0,Ourense,"BARCO DE VALDEORRAS, O",intencionado,1.0,60,70,15,0,conato,1
2009-03-17,spain,2.0,Cantabria,MIERA,intencionado,1.0,0,179,0,0,incendio,1
2012-09-15,spain,9.0,León,VILLAMANÍN,accidente,1.0,225,225,10,1,incendio,1
2015-04-03,spain,1.23,Ourense,"MEZQUITA, A",intencionado,1.0,79,89,7,3,incendio,1
2004-07-03,spain,1.0,Asturias,GIJÓN,desconocido,0.0,0,69,5,1,conato,1
2015-08-03,spain,1.63,Jaén,SABIOTE,intencionado,0.0,105,180,20,2,incendio,1
2002-06-15,spain,12.0,Toledo,PEPINO,accidente,0.0,123,152,10,1,incendio,1
2002-03-05,spain,1.2,Lugo,ANTAS DE ULLA,intencionado,1.0,115,125,5,1,incendio,1
2004-08-26,spain,2.0,Asturias,MORCÍN,intencionado,1.0,125,135,3,0,incendio,1
2005-03-19,spain,1.5,Pontevedra,REDONDELA,intencionado,1.0,70,135,13,1,incendio,1
2004-08-01,spain,9.75,Cáceres,ARROYO DE LA LUZ,intencionado,1.0,270,1035,26,2,incendio,1
2014-02-24,spain,1.0,Cantabria,CIEZA,intencionado,1.0,220,225,7,0,conato,1
2006-08-08,spain,350.0,Ourense,CUALEDRO,intencionado,1.0,1325,2145,52,11,incendio,0
2001-11-05,spain,38.5,Pontevedra,MONDARIZ,intencionado,1.0,240,252,12,1,incendio,1
2009-06-12,spain,1.0,Navarra,MURILLO EL CUENDE,intencionado,1.0,128,170,4,2,conato,1
2008-02-17,spain,2.0,Asturias,LANGREO,desconocido,0.0,0,304,7,1,incendio,1
2004-07-31,spain,95.0,Ourense,XUNQUEIRA DE AMBÍA,intencionado,1.0,775,940,82,19,incendio,0
2002-02-18,spain,1.0,Zamora,COBREROS,intencionado,1.0,90,105,12,1,conato,1
2002-08-30,spain,1.5,Ourense,BALTAR,intencionado,1.0,80,195,10,1,incendio,1
2005-08-15,spain,18.0,Ourense,LAZA,intencionado,1.0,190,470,36,7,incendio,1
2006-03-29,spain,20.0,Asturias,CABRALES,desconocido,0.0,0,370,13,2,incendio,1
2014-10-02,spain,2.8,Bizkaia,KARRANTZA HARANA,intencionado,0.0,85,123,3,0,incendio,1
2002-02-20,spain,3.0,"Rioja, La",QUEL,accidente,1.0,114,174,3,1,incendio,1
2002-08-29,spain,1.0,Málaga,COÍN,intencionado,1.0,65,130,27,5,conato,1
2015-01-22,spain,1.1,Zamora,RIOFRIO DE ALISTE,intencionado,0.0,75,105,1,0,incendio,1
2001-07-31,spain,3.0,Asturias,ALLANDE,desconocido,0.0,0,418,28,2,incendio,1
2010-04-24,spain,2.0,Cantabria,LAMASÓN,intencionado,0.0,90,150,6,0,incendio,1
2006-03-25,spain,12.0,Asturias,CASO,intencionado,0.0,125,140,9,2,incendio,1
2006-11-15,spain,6.0,Cantabria,SANTILLANA DEL MAR,intencionado,1.0,630,690,10,0,incendio,1
2003-06-23,spain,4.6,Ourense,GOMESENDE,intencionado,1.0,150,210,15,1,incendio,1
2003-08-12,spain,1.7,Navarra,ERGOIENA,accidente,0.0,0,155,7,3,incendio,1
